"","Publisher","Dagger","Book review link","Author","Primary isbn10","Price","Primary isbn13","Sunday review link","Date","First chapter link","Contributor","Title","AgeGroup","WeeksOnList"
"68","Little, Brown",0,NA,"James Patterson and Michael Ledwidge","031612723X",10.17,"9.78032E+12",NA,2011-09-11,NA,"by James Patterson and Michael Ledwidge","NOW YOU SEE HER","Adult",9
"69","St. Martin's",0,NA,"Greer Hendricks and Sarah Pekkanen","125013093X",1.03,"9.78125E+12",NA,2018-06-03,NA,"by Greer Hendricks and Sarah Pekkanen","THE WIFE BETWEEN US","Adult",8
"70","Algonquin",0,"https://www.nytimes.com/2018/02/06/books/review/american-marriage-tayari-jones.html","Tayari Jones","1616207604",11.29,"9.78162E+12",NA,2018-04-15,NA,"by Tayari Jones","AN AMERICAN MARRIAGE","Childhood",8
"71","Grand Central",0,NA,"David Baldacci","1455586633",2.43,"9.78146E+12",NA,2018-01-21,NA,"by David Baldacci","END GAME","Adult",8
"72","Bantam",0,NA,"Janet Evanovich","345543017",17.86,"9.78035E+12",NA,2017-10-01,NA,"by Janet Evanovich","TURBO TWENTY THREE","Teen",8
"73","Random House",0,"https://www.nytimes.com/2016/06/05/books/review/the-girls-by-emma-cline.html","Emma Cline","812998618",0.29,"9.78081E+12",NA,2016-08-21,NA,"by Emma Cline","THE GIRLS","Adult",8
"74","Picador",0,NA,"Michael Punke","1250072689",15.66,"9.78E+12",NA,2016-03-20,NA,"by Michael Punke","THE REVENANT","Young Adult",8
"75","Scribner",0,NA,"Stephen King","1501111671",1.8,"9.78E+12",NA,2016-01-10,NA,"by Stephen King","THE BAZAAR OF BAD DREAMS","Young Adult",8
"76","Putnam",0,NA,"Nora Roberts","None",10.38,"9.78E+12",NA,2015-07-26,NA,"by Nora Roberts","WHISKEY BEACH","Teen",8
"77","Delacorte",0,"https://www.nytimes.com/2013/08/30/books/never-go-back-a-jack-reacher-novel-by-lee-child.html","Lee Child","440246326",7.69,"9.78E+12",NA,2014-04-27,NA,"by Lee Child","NEVER GO BACK","Childhood",8
"78","Broadway",0,NA,"Max Brooks","307351939",1.4,"9.78E+12",NA,2013-07-28,NA,"by Max Brooks","WORLD WAR Z","Young Adult",8
"79","Little, Brown & Company",0,NA,"James Patterson","316210692",6.41,"9.78032E+12",NA,2013-01-20,NA,"by James Patterson","MERRY CHRISTMAS  ALEX CROSS","Young Adult",8
"80","Random House Publishing",0,NA,"Janet Evanovich","345527704",13.37,"9.78035E+12",NA,2011-12-18,NA,"by Janet Evanovich","SMOKIN    SEVENTEEN","Young Adult",8
"81","Grand Central",0,NA,"David Baldacci","446573078",18.53,"9.78045E+12",NA,2011-06-26,NA,"by David Baldacci","THE SIXTH MAN","Adult",8
"82","Little, Brown",0,NA,"Michael Connelly","316069388",9.44,"9.78032E+12",NA,2011-06-12,NA,"by Michael Connelly","THE FIFTH WITNESS","Young Adult",8
"83","Little, Brown",0,NA,"Michael Connelly","316225916",2.85,"9.78032E+12",NA,2018-01-14,NA,"by Michael Connelly","TWO KINDS OF TRUTH","Childhood",7
"84","Knopf",0,NA,"David Lagercrantz","451494334",10.89,"9.78045E+12",NA,2017-11-12,NA,"by David Lagercrantz","THE GIRL WHO TAKES AN EYE FOR AN EYE","Young Adult",7
"85","Little, Brown",0,NA,"Michael Connelly","316225975",3.92,"9.78032E+12",NA,2017-10-15,NA,"by Michael Connelly","THE LATE SHOW","Childhood",7
"86","Little, Brown",0,NA,"Michael Connelly","316225959",17.97,"9.78032E+12",NA,2017-01-15,NA,"by Michael Connelly","THE WRONG SIDE OF GOODBYE","Teen",7
"87","Little, Brown",0,"https://www.nytimes.com/2011/11/24/books/the-drop-by-michael-connelly-review.html","Michael Connelly","None",7.79,"9.78E+12",NA,2016-03-27,NA,"by Michael Connelly","THE DROP","Young Adult",7
"88","Little, Brown",0,NA,"James Patterson","316407143",6.22,"9.78E+12",NA,2016-01-24,NA,"by James Patterson","CROSS JUSTICE","Childhood",7
"89","Scribner",0,"https://www.nytimes.com/2014/11/14/books/stephen-kings-revival.html","Stephen King","1476770387",3.2,"9.78E+12","https://www.nytimes.com/2014/11/23/books/review/stephen-kings-revival.html",2015-01-11,NA,"by Stephen King","REVIVAL","Childhood",7
"90","Little, Brown",0,NA,"James Patterson and David Ellis",NA,17.92,"9.78E+12",NA,2014-08-31,NA,"by James Patterson and David Ellis","INVISIBLE","Adult",7
"91","Scribner",0,NA,"Stephen King","1476754462",3.33,"9.78E+12","https://www.nytimes.com/2014/06/08/books/review/stephen-kings-mr-mercedes.html",2014-08-03,NA,"by Stephen King","MR  MERCEDES","Young Adult",7
"92","Little, Brown",0,NA,"James Patterson and Maxine Paetro","316211281",18.01,"9.78E+12",NA,2014-07-06,NA,"by James Patterson and Maxine Paetro","UNLUCKY 13","Adult",7
"93","Little, Brown",0,NA,"James Patterson","316210927",2.68,"9.78E+12",NA,2014-02-02,NA,"by James Patterson","CROSS MY HEART","Young Adult",7
"94","Grand Central",0,NA,"David Baldacci","None",2.63,"9.78E+12",NA,2014-01-19,NA,"by David Baldacci","KING AND MAXWELL","Adult",7
"95","Rachel Van Dyken",0,NA,"Rachel Van Dyken","989078310",2.11,"9.78099E+12",NA,2013-06-02,NA,"by Rachel Van Dyken","THE BET","Young Adult",7
"96","Knopf Doubleday Publishing",0,NA,"Maeve Binchy","None",10.23,"9.78039E+12",NA,2013-04-14,NA,"by Maeve Binchy","A WEEK IN WINTER","Teen",7
"97","Colleen Hoover",0,NA,"Colleen Hoover","None",6,"A00B00AQ3K8IU",NA,2013-02-24,NA,"by Colleen Hoover","HOPELESS","Childhood",7
"98","Atria Books",0,NA,"Vince Flynn","None",0.53,"9.78144E+12",NA,2012-04-08,NA,"by Vince Flynn","KILL SHOT","Young Adult",7
"99","Little, Brown & Company",0,NA,"James Patterson and Marshall Karp","316097551",6.19,"9.78032E+12",NA,2011-10-30,NA,"by James Patterson and Marshall Karp","KILL ME IF YOU CAN","Adult",7
"100","Grand Central",0,NA,"David Baldacci","1538761378",14.84,"9.78154E+12",NA,2018-06-09,NA,"by David Baldacci","THE FALLEN","Adult",6
"101","Putnam",0,NA,"John Sandford","1101988843",0.71,"9.7811E+12",NA,2018-04-22,NA,"by John Sandford","GOLDEN PREY","Adult",6
"102","Scribner",0,NA,"Jason Matthews",NA,11.3,"9.78148E+12","https://www.nytimes.com/2013/06/02/books/review/red-sparrow-by-jason-matthews.html",2018-04-15,NA,"by Jason Matthews","RED SPARROW","Teen",6
"103","Little, Brown",0,NA,"James Patterson and Maxine Paetro","031655345X",5.61,"9.78032E+12",NA,2018-02-18,NA,"by James Patterson and Maxine Paetro","16TH SEDUCTION","Young Adult",6
"104","Delacorte",0,NA,"Lee Child","399593594",4.08,"9.7804E+12",NA,2018-02-04,NA,"by Lee Child","NO MIDDLE NAME","Teen",6
"105","Little, Brown",0,NA,"James Patterson","None",2.67,"9.78032E+12",NA,2018-01-14,NA,"by James Patterson","THE PEOPLE VS  ALEX CROSS","Adult",6
"106","Crown",0,NA,"Andy Weir","553448129",6.51,"9.78055E+12",NA,2018-01-07,NA,"by Andy Weir","ARTEMIS","Adult",6
"107","Putnam",0,NA,"Janet Evanovich","399179194",3.1,"9.7804E+12",NA,2018-01-07,NA,"by Janet Evanovich","HARDCORE TWENTY FOUR","Young Adult",6
"108","Simon & Schuster",0,NA,"Nelson DeMille","1501101749",2.6,"9.7815E+12",NA,2017-11-12,NA,"by Nelson DeMille","THE CUBAN AFFAIR","Young Adult",6
"109","Little, Brown",0,NA,"Elin Hilderbrand","316375209",8.71,"9.78032E+12",NA,2017-08-06,NA,"by Elin Hilderbrand","THE IDENTICALS","Adult",6
"110","Little, Brown",0,NA,"James Patterson and David Ellis","316464147",0.77,"9.78032E+12",NA,2017-05-21,NA,"by James Patterson and David Ellis","THE BLACK BOOK","Young Adult",6
"111","Norton",0,"https://www.nytimes.com/2017/05/15/books/review/norse-mythology-neil-gaiman-audio.html","Neil Gaiman","039360909X",14.27,"9.78039E+12",NA,2017-04-02,NA,"by Neil Gaiman","NORSE MYTHOLOGY","Adult",6
"112","HarperCollins",0,NA,"Paulo Coelho","62416219",2.02,"9.78006E+12",NA,2017-01-15,NA,"by Paulo Coelho","THE ALCHEMIST","Young Adult",6
"113","Harlequin",0,NA,"Nora Roberts","1459295366",19.01,"9.78146E+12",NA,2016-12-11,NA,"by Nora Roberts","UNFINISHED BUSINESS","Childhood",6
"114","Dutton",0,NA,"Harlan Coben","698411447",2.44,"9.7807E+12",NA,2016-11-13,NA,"by Harlan Coben","HOME","Young Adult",6
"115","Scribner",0,"https://www.nytimes.com/2016/06/12/books/review/stephen-kings-end-of-watch.html","Stephen King","1501129740",4.39,"9.7815E+12",NA,2016-07-31,NA,"by Stephen King","END OF WATCH","Young Adult",6
"116","Dutton",0,NA,"Harlan Coben","698404173",18.26,"9.78E+12",NA,2016-05-15,NA,"by Harlan Coben","FOOL ME ONCE","Adult",6
"117","Emily Bestler/Atria",0,NA,"Vince Flynn and Kyle Mills","1476783470",18.92,"9.78E+12",NA,2015-11-29,NA,"by Vince Flynn and Kyle Mills","THE SURVIVOR","Childhood",6
"118","Emily Bestler/Atria",0,NA,"Brad Thor","1476717176",5.58,"9.78E+12",NA,2015-08-30,NA,"by Brad Thor","CODE OF CONDUCT","Teen",6
"119","Harper",0,NA,"Daniel Silva",NA,2.47,"9.78E+12",NA,2014-09-07,NA,"by Daniel Silva","THE HEIST","Young Adult",6
"120","Mulholland/Little, Brown",0,NA,"Robert Galbraith",NA,15.94,"9.78E+12","https://www.nytimes.com/2014/06/29/books/review/the-silkworm-by-j-k-rowling-as-robert-galbraith.html",2014-08-10,NA,"by Robert Galbraith","THE SILKWORM","Young Adult",6
"121","Little, Brown",0,NA,"James Patterson and Marshall Karp","316211249",14.89,"9.78E+12",NA,2014-05-18,NA,"by James Patterson and Marshall Karp","NYPD RED 2","Young Adult",6
"122","Dutton",0,NA,"Harlan Coben","698148630",18.32,"9.78E+12",NA,2014-05-11,NA,"by Harlan Coben","MISSING YOU","Teen",6
"123","Dell",0,"https://www.nytimes.com/2012/09/10/books/a-wanted-man-a-jack-reacher-novel-by-lee-child.html","Lee Child","440246318",19.89,"9.78E+12",NA,2013-06-23,NA,"by Lee Child","A WANTED MAN","Young Adult",6
"124","Little, Brown & Company",0,NA,"Stephenie Meyer","316128651",18.85,"9.78032E+12",NA,2013-04-28,NA,"by Stephenie Meyer","THE HOST","Adult",6
"125","Simon & Schuster",0,NA,"Vince Flynn","141659521X",9.72,"9.78142E+12",NA,2013-01-06,NA,"by Vince Flynn","THE LAST MAN","Adult",6
"126","Little, Brown & Company",0,NA,"James Patterson and Mark Sullivan","316206814",5.67,"9.78032E+12",NA,2012-04-08,NA,"by James Patterson and Mark Sullivan","PRIVATE GAMES","Young Adult",6
"127","Penguin Group",0,NA,"Sue Grafton","399157867",5.03,"9.7804E+12","https://www.nytimes.com/2011/11/20/books/review/sue-graftons-v-is-for-vengeance-and-other-crime-books.html",2012-01-08,NA,"by Sue Grafton","V IS FOR VENGEANCE","Young Adult",6
"128","Penguin Group",0,NA,"Charlaine Harris","None",10.07,"9.7811E+12",NA,2011-06-26,NA,"by Charlaine Harris","DEAD RECKONING","Teen",6
"129","Simon & Schuster",0,NA,"Jodi Picoult","1439102724",9.94,"9.78144E+12",NA,2011-04-24,NA,"by Jodi Picoult","SING YOU HOME","Young Adult",6
"130","Putnam",0,NA,"John Sandford","073521736X",6.37,"9.78074E+12",NA,2018-06-09,NA,"by John Sandford","TWISTED PREY","Teen",5
"131","Delacorte",0,NA,"Danielle Steel","1101883960",19.24,"9.7811E+12",NA,2018-05-06,NA,"by Danielle Steel","THE RIGHT TIME","Childhood",5
"132","Pamela Dorman/Viking",0,NA,"Jojo Moyes","399562478",12.68,"9.7804E+12",NA,2018-03-18,NA,"by Jojo Moyes","STILL ME","Adult",5
"133","Scribner",0,NA,"Stephen King and Owen King","150116340X",2.55,"9.7815E+12",NA,2018-01-07,NA,"by Stephen King and Owen King","SLEEPING BEAUTIES","Adult",5
"134","Little, Brown",0,NA,"James Patterson and Howard Roughan","316553476",8.46,"9.78032E+12",NA,2017-08-13,NA,"by James Patterson and Howard Roughan","MURDER GAMES","Young Adult",5
"135","St. Martin's",0,NA,"Nora Roberts","1250123100",18.29,"9.78125E+12",NA,2017-07-16,NA,"by Nora Roberts","COME SUNDOWN","Young Adult",5
"136","Little, Brown",0,NA,"James Patterson and Michael Ledwidge","1455585300",9.36,"9.78146E+12",NA,2017-03-12,NA,"by James Patterson and Michael Ledwidge","BULLSEYE","Young Adult",5
"137","Little, Brown",0,NA,"James Patterson and Candice Fox","316433179",18.16,"9.78032E+12",NA,2017-03-05,NA,"by James Patterson and Candice Fox","NEVER NEVER","Adult",5
"138","Delacorte",0,NA,"Danielle Steel","425285421",11.95,"9.78043E+12",NA,2017-02-19,NA,"by Danielle Steel","THE APARTMENT","Young Adult",5
"139","Putnam",0,NA,"John Sandford","None",12.63,"9.7807E+12",NA,2016-06-12,NA,"by John Sandford","EXTREME PREY","Young Adult",5
"140","Random House",0,NA,"Elizabeth Strout","812989074",17.38,"9.78E+12","https://www.nytimes.com/2016/01/10/books/review/elizabeth-strouts-my-name-is-lucy-barton.html",2016-02-28,NA,"by Elizabeth Strout","MY NAME IS LUCY BARTON","Childhood",5
"141","Morrow/HarperCollins",0,NA,"Karin Slaughter","006242906X",10.05,"9.78E+12",NA,2016-01-17,NA,"by Karin Slaughter","PRETTY GIRLS","Young Adult",5
"142","Harper/HarperCollins",0,NA,"Mitch Albom","62294415",19.67,"9.78E+12",NA,2016-01-10,NA,"by Mitch Albom","THE MAGIC STRINGS OF FRANKIE PRESTO","Adult",5
"143","Marian Wood/Putnam",0,NA,"Sue Grafton","110161434X",6.49,"9.78E+12",NA,2015-10-11,NA,"by Sue Grafton","X","Teen",5
"144","Morrow/HarperCollins",0,NA,"Patricia Cornwell","None",9.63,"9.78E+12",NA,2015-08-30,NA,"by Patricia Cornwell","FLESH AND BLOOD","Young Adult",5
"145","Random House Publishing",0,NA,"Debbie Macomber","345535111",7.14,"9.78E+12",NA,2015-05-24,NA,"by Debbie Macomber","THE INN AT ROSE HARBOR","Teen",5
"146","Putnam",0,NA,"John Sandford",NA,12.55,"9.78E+12",NA,2014-11-23,NA,"by John Sandford","DEADLINE","Young Adult",5
"147","Grand Central",0,NA,"Sandra Brown","None",14.83,"9.78E+12",NA,2014-10-12,NA,"by Sandra Brown","MEAN STREAK","Teen",5
"148","Barbara Freethy",0,NA,"Barbara Freethy","None",11.32,"9.78E+12",NA,2014-08-10,NA,"by Barbara Freethy","DON T SAY A WORD","Young Adult",5
"149","Witness Impulse/HarperCollins",0,NA,"Brian McGilloway","None",19.62,"9.78E+12",NA,2014-05-11,NA,"by Brian McGilloway","LITTLE GIRL LOST","Adult",5
"150","Little, Brown",0,NA,"James Patterson and Mark Sullivan","316211117",11.54,"9.78E+12",NA,2014-03-30,NA,"by James Patterson and Mark Sullivan","PRIVATE L A ","Young Adult",5
